都道府県,ジャンル,スポット名
北海道,自然,富良野ラベンダー畑
北海道,自然,美瑛の青い池
北海道,自然,知床五湖
北海道,グルメ,札幌ラーメン横丁
北海道,グルメ,函館朝市
北海道,グルメ,ジンギスカン専門店
北海道,歴史,五稜郭
北海道,歴史,札幌時計台
北海道,歴史,小樽運河
青森,自然,白神山地
青森,自然,奥入瀬渓流
青森,グルメ,青森魚菜センター（のっけ丼）
青森,グルメ,弘前アップルパイ
青森,歴史,三内丸山遺跡
青森,歴史,弘前城
岩手,自然,龍泉洞
岩手,自然,浄土ヶ浜
岩手,グルメ,盛岡冷麺
岩手,グルメ,わんこそば
岩手,歴史,中尊寺
岩手,歴史,毛越寺
宮城,自然,松島
宮城,グルメ,牛タン専門店
宮城,グルメ,ずんだ餅
宮城,歴史,仙台城跡
宮城,歴史,瑞巌寺
秋田,自然,田沢湖
秋田,自然,白神山地（秋田側）
秋田,グルメ,きりたんぽ鍋
秋田,グルメ,横手やきそば
秋田,歴史,角館武家屋敷
秋田,歴史,秋田ふるさと村
山形,自然,蔵王の樹氷
山形,自然,銀山温泉
山形,グルメ,米沢牛
山形,グルメ,芋煮
山形,歴史,山寺（立石寺）
山形,歴史,出羽三山神社
福島,自然,五色沼
福島,自然,磐梯吾妻スカイライン
福島,グルメ,喜多方ラーメン
福島,グルメ,会津ソースカツ丼
福島,歴史,鶴ヶ城
福島,歴史,大内宿
茨城,自然,袋田の滝
茨城,自然,国営ひたち海浜公園
茨城,グルメ,あんこう鍋
茨城,グルメ,水戸納豆
茨城,歴史,偕楽園
茨城,歴史,鹿島神宮
栃木,自然,日光東照宮（自然と歴史）
栃木,自然,華厳の滝
栃木,グルメ,宇都宮餃子
栃木,グルメ,佐野ラーメン
栃木,歴史,日光二荒山神社
栃木,歴史,日光山輪王寺
群馬,自然,草津温泉
群馬,自然,尾瀬国立公園
群馬,グルメ,水沢うどん
群馬,グルメ,おっきりこみ
群馬,歴史,富岡製糸場
群馬,歴史,高崎白衣大観音
埼玉,自然,長瀞渓谷
埼玉,自然,秩父の芝桜
埼玉,グルメ,草加せんべい
埼玉,グルメ,深谷ねぎ
埼玉,歴史,川越の蔵造りの町並み
埼玉,歴史,氷川神社
千葉,自然,九十九里浜
千葉,自然,マザー牧場
千葉,グルメ,勝浦タンタンメン
千葉,グルメ,落花生
千葉,歴史,成田山新勝寺
千葉,歴史,佐倉武家屋敷
東京,自然,高尾山
東京,自然,奥多摩湖
東京,グルメ,築地場外市場
東京,グルメ,もんじゃ焼き
東京,歴史,浅草寺
東京,歴史,皇居
神奈川,自然,箱根彫刻の森美術館（自然とアート）
神奈川,自然,江の島
神奈川,グルメ,横浜中華街
神奈川,グルメ,鎌倉しらす丼
神奈川,歴史,鎌倉大仏
神奈川,歴史,鶴岡八幡宮
新潟,自然,苗場スキー場
新潟,自然,佐渡金山（自然と歴史）
新潟,グルメ,へぎそば
新潟,グルメ,のどぐろ
新潟,歴史,長岡城跡
新潟,歴史,北方文化博物館
富山,自然,立山黒部アルペンルート
富山,自然,黒部峡谷
富山,グルメ,富山湾の海の幸
富山,グルメ,富山ブラックラーメン
富山,歴史,五箇山合掌造り集落
富山,歴史,富山城
石川,自然,白米千枚田
石川,自然,能登半島
石川,グルメ,金沢おでん
石川,グルメ,のどぐろ（石川）
石川,歴史,兼六園
石川,歴史,金沢城
福井,自然,東尋坊
福井,自然,越前海岸
福井,グルメ,越前ガニ
福井,グルメ,ソースカツ丼
福井,歴史,永平寺
福井,歴史,福井城址
山梨,自然,富士山
山梨,自然,河口湖
山梨,グルメ,ほうとう
山梨,グルメ,甲州ワイン
山梨,歴史,武田神社
山梨,歴史,身延山久遠寺
長野,自然,上高地
長野,自然,白馬岳
長野,グルメ,信州そば
長野,グルメ,おやき
長野,歴史,善光寺
長野,歴史,松本城
岐阜,自然,白川郷合掌造り集落（自然と歴史）
岐阜,自然,飛騨高山（自然と歴史）
岐阜,グルメ,飛騨牛
岐阜,グルメ,朴葉味噌
岐阜,歴史,岐阜城
岐阜,歴史,高山陣屋
静岡,自然,伊豆高原
静岡,自然,寸又峡
静岡,グルメ,静岡おでん
静岡,グルメ,うなぎ（浜松）
静岡,歴史,静岡城公園
静岡,歴史,久能山東照宮
愛知,自然,香嵐渓
愛知,自然,茶臼山高原
愛知,グルメ,ひつまぶし
愛知,グルメ,味噌カツ
愛知,歴史,名古屋城
愛知,歴史,熱田神宮
三重,自然,伊勢志摩国立公園
三重,自然,赤目四十八滝
三重,グルメ,伊勢うどん
三重,グルメ,松阪牛
三重,歴史,伊勢神宮
三重,歴史,鳥羽水族館（歴史と文化）
滋賀,自然,琵琶湖
滋賀,自然,比叡山
滋賀,グルメ,近江牛
滋賀,グルメ,鮒寿司
滋賀,歴史,彦根城
滋賀,歴史,延暦寺
京都,自然,鴨川
京都,グルメ,錦市場
京都,歴史,金閣寺
京都,歴史,清水寺
京都,自然,嵐山
京都,グルメ,一乗寺ラーメン街道
京都,自然,哲学の道
京都,歴史,二条城
京都,グルメ,京都駅ビル
京都,歴史,東福寺
京都,自然,貴船神社
京都,自然,伏見稲荷大社（自然景観として）
京都,自然,苔寺（西芳寺）
京都,グルメ,京懐石
京都,グルメ,抹茶スイーツ
京都,グルメ,湯豆腐
京都,歴史,銀閣寺
京都,歴史,三十三間堂
京都,歴史,龍安寺
京都,歴史,平安神宮
大阪,自然,万博記念公園（自然と文化）
大阪,自然,箕面公園
大阪,グルメ,たこ焼き
大阪,グルメ,お好み焼き
大阪,歴史,大阪城
大阪,歴史,住吉大社
兵庫,自然,六甲山
兵庫,自然,城崎温泉（自然と温泉）
兵庫,グルメ,神戸牛
兵庫,グルメ,明石焼き
兵庫,歴史,姫路城
兵庫,歴史,有馬温泉（歴史的な温泉地）
奈良,自然,奈良公園（自然と歴史）
奈良,自然,吉野山
奈良,グルメ,柿の葉寿司
奈良,グルメ,三輪そうめん
奈良,歴史,東大寺
奈良,歴史,法隆寺
和歌山,自然,那智の滝
和歌山,自然,白浜温泉
和歌山,グルメ,和歌山ラーメン
和歌山,グルメ,みかん
和歌山,歴史,高野山
和歌山,歴史,熊野古道
鳥取,自然,鳥取砂丘
鳥取,自然,大山
鳥取,グルメ,鳥取和牛
鳥取,グルメ,カニ料理
鳥取,歴史,鳥取城跡
鳥取,歴史,三朝温泉（歴史的な温泉地）
島根,自然,宍道湖
島根,自然,隠岐諸島
島根,グルメ,出雲そば
島根,グルメ,しじみ汁
島根,歴史,出雲大社
島根,歴史,石見銀山
岡山,自然,蒜山高原
岡山,自然,岡山後楽園（自然と庭園）
岡山,グルメ,きびだんご
岡山,グルメ,岡山ラーメン
岡山,歴史,岡山城
岡山,歴史,倉敷美観地区
広島,自然,宮島（厳島）
広島,自然,帝釈峡
広島,グルメ,お好み焼き（広島風）
広島,グルメ,カキ料理
広島,歴史,原爆ドーム
広島,歴史,厳島神社
山口,自然,秋吉台
山口,自然,角島大橋
山口,グルメ,ふぐ料理
山口,グルメ,瓦そば
山口,歴史,錦帯橋
山口,歴史,瑠璃光寺五重塔
徳島,自然,鳴門の渦潮
徳島,自然,祖谷渓
徳島,グルメ,徳島ラーメン
徳島,グルメ,すだち
徳島,歴史,阿波おどり会館
徳島,歴史,大塚国際美術館（歴史と文化）
香川,自然,小豆島
香川,自然,栗林公園（自然と庭園）
香川,グルメ,讃岐うどん
香川,グルメ,骨付鳥
香川,歴史,金刀比羅宮
香川,歴史,丸亀城
愛媛,自然,道後温泉（自然と温泉）
愛媛,自然,しまなみ海道
愛媛,グルメ,鯛めし
愛媛,グルメ,みかん（愛媛）
愛媛,歴史,松山城
愛媛,歴史,石手寺
高知,自然,四万十川
高知,自然,桂浜
高知,グルメ,カツオのたたき
高知,グルメ,芋けんぴ
高知,歴史,高知城
高知,歴史,坂本龍馬記念館
福岡,自然,糸島
福岡,自然,能古島
福岡,グルメ,博多ラーメン
福岡,グルメ,もつ鍋
福岡,歴史,太宰府天満宮
福岡,歴史,福岡城跡
佐賀,自然,呼子のイカ
